id,difficulty,easy_other,hard_other,influence,variety,worsen,improve,age,gender,vision,hand,svo_score,svo
1,5,7,3,3,5,2,2,25,man,glasses,right,37.09283729704154,prosocial
2,5,7,5,6,5,6,3,24,woman,glasses,right,34.87532834460219,prosocial
3,6,7,2,5,7,5,3,23,woman,contact,right,7.815293546766878,individualist
4,6,6,3,3,5,6,3,24,man,contact,right,32.9052429229879,prosocial
5,6,6,3,3,5,1,1,22,man,unaided,right,-7.815293546766878,individualist
6,5,7,2,3,2,3,3,20,woman,contact,right,37.48241142771847,prosocial
7,6,6,2,2,6,6,3,26,woman,contact,right,7.815293546766878,individualist
8,5,7,2,6,6,3,5,22,man,contact,right,7.815293546766878,individualist
9,5,7,2,3,3,2,2,23,man,glasses,right,33.82208521749396,prosocial
10,5,6,3,3,5,3,3,22,woman,glasses,right,34.87532834460219,prosocial
11,6,7,3,2,5,2,1,22,woman,contact,right,26.872538991655777,prosocial
12,6,7,2,2,6,1,1,22,man,glasses,right,45,prosocial
13,7,6,2,3,6,6,1,25,man,contact,right,37.48241142771847,prosocial
14,3,7,1,1,1,1,1,24,woman,contact,right,22.915106287261175,prosocial
15,5,6,3,1,6,1,1,23,woman,glasses,right,34.87532834460219,prosocial
16,5,6,3,2,6,2,3,26,man,glasses,right,34.87532834460219,prosocial
17,7,2,1,4,1,3,1,22,man,unaided,right,44.65063982049722,prosocial
18,7,3,2,2,7,2,1,28,woman,contact,right,7.815293546766878,individualist
19,5,7,2,5,3,1,5,22,man,glasses,right,34.87532834460219,prosocial
20,5,6,3,2,6,5,3,24,woman,contact,right,37.48241142771847,prosocial
21,6,7,5,4,5,6,3,21,woman,unaided,right,37.48241142771847,prosocial
22,5,6,2,3,6,4,4,24,man,glasses,right,12.896809137668678,individualist
23,7,6,2,2,1,5,3,23,man,glasses,right,7.815293546766878,individualist
24,6,6,3,5,2,6,3,24,woman,glasses,right,31.591515701040688,prosocial
25,6,5,3,2,3,3,2,20,woman,other,right,23.838740183171726,prosocial
26,5,7,2,2,6,2,7,23,man,glasses,right,31.855132382449263,prosocial
27,4,6,2,3,6,4,4,22,woman,glasses,right,45,prosocial
28,3,7,2,2,6,3,6,23,woman,contact,right,29.43256844631617,prosocial
29,5,5,2,2,7,5,3,21,man,glasses,right,34.87532834460219,prosocial
30,6,6,2,5,6,5,3,24,woman,contact,right,22.709417515806244,prosocial
31,6,7,2,5,2,3,2,22,man,glasses,right,7.815293546766878,individualist
32,6,7,3,1,6,2,2,22,man,glasses,right,25.40238131877081,prosocial
33,6,7,5,3,6,3,5,22,woman,contact,right,4.84400037508068,individualist
34,5,6,3,3,6,4,4,22,woman,glasses,right,30.18788107358616,prosocial
35,6,6,3,1,5,5,1,20,man,glasses,right,22.020596556015665,individualist
36,5,6,3,3,7,5,2,19,man,glasses,right,34.87532834460219,prosocial
37,6,6,3,2,6,4,3,20,woman,unaided,right,7.815293546766878,individualist
38,7,5,7,2,6,5,3,22,woman,contact,right,30.843807413144813,prosocial
39,6,7,5,2,1,5,3,19,man,unaided,right,34.87532834460219,prosocial
40,4,6,2,5,5,3,5,21,man,unaided,right,16.26020470831196,individualist
41,5,6,2,2,6,4,4,23,man,contact,right,23.838740183171726,prosocial
42,6,6,2,3,5,3,3,22,woman,glasses,right,37.48241142771847,prosocial
43,6,7,2,3,5,2,5,20,man,glasses,right,37.48241142771847,prosocial
44,5,7,3,2,6,3,5,20,woman,glasses,right,7.815293546766878,individualist
45,5,7,3,5,6,5,5,23,woman,contact,right,34.35938029758942,prosocial
46,6,7,1,2,1,1,5,23,man,glasses,right,26.872538991655777,prosocial
47,6,6,5,2,7,2,1,22,man,glasses,right,7.815293546766878,individualist
48,6,7,2,3,5,3,6,24,woman,unaided,right,37.01361585490981,prosocial
49,5,3,3,2,6,5,3,23,woman,contact,right,34.87532834460219,prosocial
50,5,7,6,5,6,4,4,23,man,glasses,right,37.48241142771847,prosocial
51,7,6,3,1,5,3,2,22,man,glasses,right,23.589990170743306,prosocial
52,6,7,4,6,7,6,1,22,woman,glasses,right,34.87532834460219,prosocial
53,6,6,2,3,6,4,4,21,woman,other,right,7.815293546766878,individualist
54,5,7,5,1,6,3,3,24,man,glasses,right,7.815293546766878,individualist
55,5,5,2,3,6,3,3,22,man,unaided,right,18.145578659481412,individualist
56,6,6,4,3,2,3,3,20,woman,glasses,right,37.48241142771847,prosocial
57,5,7,3,3,2,1,1,24,woman,contact,right,31.497680240383556,prosocial
58,6,6,2,1,5,1,1,20,man,glasses,right,18.145578659481412,individualist
59,6,7,2,1,7,1,1,22,man,glasses,right,7.815293546766878,individualist
60,6,7,3,2,3,6,1,22,woman,contact,right,34.87532834460219,prosocial
61,6,6,3,2,2,2,2,24,woman,glasses,right,34.87532834460219,prosocial
62,5,6,5,5,3,5,2,20,man,glasses,right,35.51043301061695,prosocial
63,5,6,3,3,6,2,4,26,man,glasses,right,34.87532834460219,prosocial
